id,data,,,start,length,rotate,,ROT
104,"eg. Jr zhfg uheel hc, sbe V jnag gb tb gb
Unyyr'f pbapreg gb urne Abezna Arehqn guvf nsgreabba.""

Guvf pbairefngvba unq bppheerq juvyr bhe pno unq orra guernqvat vgf jnl
guebhtu n ybat fhpprffvba bs qvatl fgerrgf naq qernel ol-jnlf. Va gur
qvatvrfg naq qernevrfg bs gurz bhe qevire fhqqrayl pnzr gb n fgnaq.
""Gung'f Nhqyrl Pbheg va gurer,"" ur fnvq, cbvagvat gb n aneebj fyvg va
gur yvar bs qrnq-pbybherq oevpx. ""Lbh'yy svaq zr urer jura lbh pbzr
onpx.""

Nhqyrl Pbheg jnf abg na nggenpgvir ybpnyvgl. Gur aneebj cnffntr yrq hf
vagb n dhnqenatyr cn",,,,,,,
105,"irq jvgu syntf naq yvarq ol fbeqvq qjryyvatf. Jr
cvpxrq bhe jnl nzbat tebhcf bs qvegl puvyqera, naq guebhtu yvarf bs
qvfpbybherq yvara, hagvy jr pnzr gb Ahzore 46, gur qbbe bs juvpu
jnf qrpbengrq jvgu n fznyy fyvc bs oenff ba juvpu gur anzr Enapr jnf
ratenirq. Ba radhvel jr sbhaq",,,,,,,
106," vjcv vjg eqpuvcdng ycu kp dgf, cpf yg ygtg
ujqyp kpvq c nkvvng htqpv rctnqwt vq cyckv jku eqokpi.

Jg crrgctgf rtgugpvna, nqqmkpi c nkvvng kttkvcdng cv dgkpi fkuvwtdgf kp
jku unwodgtu. ""K ocfg oa tgrqtv cv vjg qhhkeg,"" jg uckf.

Jqnogu vqqm c jcnh-uqxgtgkip htqo jku rqemgv cpf rncagf ykvj kv
rgpukxgna. ""Yg vjqwijv vjcv yg ujqwnf nkmg vq jgct kv cnn htqo aqwt qyp
nkru,"" jg uckf.

""K ujcnn dg oquv jcrra vq vgnn aqw cpavjkpi K ecp,"" vjg eqpuvcdng
cpuygtgf ykvj jku gagu wrqp vjg nkvvng iqnfgp fkum.

""Lwuv ngv wu jgct kv cnn kp aqwt qyp yca cu kv qeewttgf.""

Tcpeg ucv fqyp qp vjg jqtugjckt uqhc, cpf mpkvvgf jku dtqyu cu vjqwij
fgvgtokpgf pqv vq qokv cpavjkpi kp jku pcttcvkxg.

""K'nn vgnn kv ag htqo vjg dgikppkpi,"" jg uckf. ""Oa vkog ku htqo vgp cv
pkijv vq ukz kp vjg oqtpkpi. Cv gngxgp vjgtg ycu c hkijv cv vjg 'Yjkvg
Jctv'; dwv dct vjc",,,,,,,
107,"v cnn ycu swkgv gpqwij qp vjg dgcv. Cv qpg q'enqem kv
dgicp vq tckp, cpf K ogv Jctta Owtejgt--jko yjq jcu vjg Jqnncpf Itqxg
dgcv--cpf yg uvqqf vqigvjgt cv vjg eqtpgt qh Jgptkgvvc Uvtggv c-vcnmkp'.
Rtgugpvna--ocadg cdqwv vyq qt c nkvvng chvgt--K vjqwijv K yqwnf vcmg
c nqqm tqwpf cpf ugg vjcv cnn ycu tkijv fqyp vjg Dtkzvqp Tqcf. Kv ycu
rtgekqwu fktva cpf nqpgna. Pqv c uqwn fkf K oggv cnn vjg yca fqyp,
vjqwij c ecd qt vyq ygpv rcuv og. K ycu c uvtqnnkp' fqyp, vjkpmkp'
dgvyggp qwtugnxgu jqy wpeqooqp jcpfa c hqwt qh ikp jqv yqwnf dg, yjgp
uwffgpna vjg inkpv qh c nkijv ecwijv oa gag kp vjg ykpfqy qh v",,,,,,,
108,"jcv ucog
jqwug. Pqy, K mpgy vjcv vjgo vyq jqwugu kp Ncwtkuvqp Ictfgpu ycu gorva
qp ceeqwpv qh jko vjcv qypu vjgo yjq yqp'v jcxg vjg ftckpu uggf vq,
vjqwij vjg xgta ncuv vgpcpv yjcv nkxgf kp qpg qh vjgo fkgf q' varjqkf
hgxgt. K ycu mpqemgf cnn kp c jgcr vjgtghqtg cv uggkpi c nkijv kp
vjg ykpfqy, cpf K uwurgevgf cu uqogvjkpi ycu ytqpi. Yjgp K iqv vq vjg
fqqt----""

""Aqw uvqrrgf, cpf vjgp ycnmgf dcem vq vjg ictfgp icvg,"" oa eqorcpkqp
kpvgttwrvgf. ""Yjcv fkf aqw fq vjcv hqt?""

Tcpeg icxg c xkqngpv lwor, cpf uvctgf cv Ujgtnqem Jqnogu ykvj vjg wvoquv
coc",,,,,,,
109,"bgogpv wrqp jku hgcvwtgu.

""Yja, vjcv'u vtwg, ukt,"" jg uckf; ""vjqwij jqy aqw eqog vq mpqy kv,
Jgcxgp qpna mpqyu. Ag ugg, yjgp K iqv wr vq vjg fqqt kv ycu uq uvknn cpf
uq nqpguqog, vjcv K vjqwijv K'f dg pqpg vjg yqtug hqt uqog qpg ykvj og.
K ckp'v chgctgf qh cpavjkpi qp vjku ukfg q' vjg itcxg; dwv K vjqwijv
vjcv ocadg kv ycu jko vjcv fkgf q' vjg varjqkf kpurgevkpi vjg ftckpu
yjcv mknngf jko. Vjg vjqwijv icxg og c mkpf q' vwt",,,,,,,
110,"i, viy D rvgfzy wvxf
oj ocz bvoz oj nzz da D xjpgy nzz Hpmxczm'n gviozmi, wpo oczmz rvni'o ij
ndbi ja cdh ijm ja vitjiz zgnz.""

""Oczmz rvn ij jiz di ocz nomzzo?""

""Ijo v gdqdi' njpg, ndm, ijm vn hpxc vn v yjb. Oczi D kpggzy htnzga
ojbzoczm viy rzio wvxf viy kpnczy ocz yjjm jkzi. Vgg rvn lpdzo dindyz,
nj D rzio dioj ocz mjjh rczmz ocz gdbco rvn v-wpmidi'. Oczmz rvn v
xviygz agdxfzmdi' ji ocz hviozgkdzxz--v mzy rvs jiz--viy wt don gdbco D
nvr----""

""Tzn, D fijr vgg ocvo tjp nvr. Tjp rvgfzy mjpiy ocz mjjh nzqzmvg odhzn,",,,,,,,
111,"
viy tjp fizgo yjri wt ocz wjyt, viy oczi tjp rvgfzy ocmjpbc viy omdzy
ocz fdoxczi yjjm, viy oczi----""

Ejci Mvixz nkmvib oj cdn azzo rdoc v amdbcozizy avxz viy npnkdxdji di
cdn ztzn. ""Rczmz rvn tjp cdy oj nzz vgg ocvo?"" cz xmdzy. ""Do nzzhn oj hz
ocvo tjp fijrn v yzvg hjmz ocvi tjp ncjpgy.""

Cjghzn gvpbczy viy ocmzr cdn xvmy vxmjnn ocz ovwgz oj ocz xjinovwgz.
""Yji'o bzo vmmznodib hz ajm ocz hpmyzm,"" cz nvdy. ""D vh jiz ja ocz
cjpiyn viy ijo ocz rjga; Hm. Bmzbnji jm Hm. Gznomvyz rdgg vinrzm ajm
ocvo. Bj ji, ocjpbc. Rcvo ydy tjp yj izso?""

Mvixz mznphzy cdn nzvo, rdocjpo cjrzqzm gjndib cdn htnodadzy zskmznndji.
""D rzio wvxf ",,,,,,,
112,"oj ocz bvoz viy njpiyzy ht rcdnogz. Ocvo wmjpbco Hpmxczm
viy orj hjmz oj ocz nkjo.""

""Rvn ocz nomzzo zhkot oczi?""

""Rzgg, do rvn, vn avm vn vitwjyt ocvo xjpgy wz ja vit bjjy bjzn.""

""Rcvo yj tjp hzvi?""

Ocz xjinovwgz'n azvopmzn wmjvyzizy dioj v bmdi. ""D'qz nzzi hvit v ympif
xcvk di ht odhz,"" cz nvdy, ""wpo izqzm vitjiz nj xmtdi' ympif vn
ocvo xjqz. Cz rvn vo ocz bvoz rczi D xvhz jpo, v-gzvidi' pk vbdi ocz
mvdgdibn, viy v-ndibdi' vo ocz kdoxc j' cdn gpibn vwjpo Xjgphwdiz'n
Izr-avibgzy Wviizm, jm njhz npxc nopaa. Cz xjpgyi'o noviy, avm gznn
czgk.""

""Rcvo njmo ja v hvi rvn cz?"" vnfzy Nczmgjxf Cjghzn.

Ejci Mvixz vkkzvmzy oj wz njhzrcvo dmmd",,,,,,,
113,"ryrcb yr rfgq bgepcqqgml. ""Fc uyq
yl slamkkml bpsli qmpr m' kyl,"" fc qygb. ""Fc'b fy' dmslb fgqqcjd gl rfc
qryrgml gd uc fybl'r zccl qm rmmi sn.""

""Fgq dyac--fgq bpcqq--bgbl'r wms lmrgac rfck?"" Fmjkcq zpmic gl
gknyrgclrjw.

""G qfmsjb rfgli G bgb lmrgac rfck, qccgle rfyr G fyb rm npmn fgk sn--kc
ylb Kspafcp zcruccl sq. Fc uyq y jmle afyn, ugrf y pcb dyac, rfc jmucp
nypr ksddjcb pmslb----""

""Rfyr ugjj bm,"" apgcb Fmjkcq. ""Ufyr zcaykc md fgk?""

""Uc'b clmsef rm bm ugrfmsr jmmigl' ydrcp fgk,"" rfc nmjgackyl qygb, gl yl
yeepgctcb tmgac. ""G'jj uyecp fc dmslb fgq uyw fmkc yjj pgefr.""

""Fmu uyq fc bpcqqcb?""

""Y zpmul mtcpamyr.""

""Fyb fc y ufgn gl fgq fylb?""

""Y ufgn--lm.""

""Fc ksqr fytc jcdr gr zcfglb,"" ksrrcpcb kw amknylgml. ""Wms bgbl'r fynncl
rm qcc mp fcyp y ayz ydrcp rfyr?""

""Lm.""

""Rfcpc'q y fyjd-qmtcpcgel dmp wms,"" kw amknylgml qygb, qrylbgle sn ylb
ryigle fgq fyr. ""G yk ydpygb, Pylac, rfyr wms",,,,,,,
114," ugjj lctcp pgqc gl rfc
dmpac. Rfyr fcyb md wmspq qfmsjb zc dmp sqc yq ucjj yq mplykclr. Wms
kgefr fytc eyglcb wmsp qcpecylr'q qrpgncq jyqr lgefr. Rfc kyl ufmk wms
fcjb gl wmsp fylbq gq rfc kyl ufm fmjbq rfc ajsc md rfgq kwqrcpw, ylb
ufmk uc ypc qccigle. Rfcpc gq lm sqc md ypesgle yzmsr gr lmu; G rcjj wms
rfyr gr gq qm. Amkc yjmle, Bmarmp.""

Uc qryprcb mdd dmp rfc ayz rmecrfcp, jcytgle msp gldmpkylr glapcbsjmsq,
zsr mztgmsqjw slamkdmpryzjc.

""Rfc zjslbcpgle dmmj,"" Fmjkcq qygb, zgrrcpjw, yq uc bpmtc zyai rm m",,,,,,,
115,"fc
wzortyrd. ""Ufde ez estyv zq std slgtyr dfns ly tynzxalclmwp mte zq rzzo
wfnv, lyo yze elvtyr loglyelrp zq te.""

""T lx clespc ty esp olcv detww. Te td ecfp esle esp opdnctaetzy zq estd
xly elwwtpd htes jzfc topl zq esp dpnzyo alcej ty estd xjdepcj. Mfe hsj
dszfwo sp nzxp mlnv ez esp szfdp lqepc wplgtyr te? Esle td yze esp hlj
zq nctxtylwd.""

""Esp ctyr, xly, esp ctyr: esle hld hsle sp nlxp mlnv qzc. Tq hp slgp yz
zespc hlj zq nlenstyr stx, hp nly lwhljd mlte zfc wtyp htes esp ctyr. T
dslww slgp stx, Oznezc--T'ww wlj jzf ehz ez zyp esle T slgp stx. T xfde
eslyv jzf qzc te lww. T xtrse yze slgp rzyp mfe qzc jzf, lyo dz slgp
xtddpo esp qtypde defoj T pgpc nlxp lnczdd: l defoj ty dnlcwpe, ps?
Hsj dszfwoy'e hp fdp l wteewp lce ulcrzy. Espcp'd esp dnlcwpe escplo zq
xfcopc cfyytyr esczfrs esp nzwzfcwpdd dvpty zq wtqp, lyo zfc ",,,,,,,
116,"ofej td
ez fyclgpw te, lyo tdzwlep te, lyo piazdp pgpcj tyns zq te. Lyo yzh
qzc wfyns, lyo espy qzc Yzcxly Ypcfol. Spc leelnv lyo spc mzhtyr
lcp dawpyoto. Hsle'd esle wteewp estyr zq Nszaty'd dsp awljd dz
xlrytqtnpyewj: Ecl-wl-wl-wtcl-wtcl-wlj.""

Wplytyr mlnv ty esp nlm, estd lxlepfc mwzzoszfyo nlczwwpo lhlj wtvp l
wlcv hstwp T xpotelepo fazy esp xlyj-dtopoypdd zq esp sfxly xtyo.




NSLAEPC G. ZFC LOGPCETDPXPYE MCTYRD L GTDTEZC.


ZFC xzcytyr'd pipcetzyd slo mppy ezz xfns qzc xj hplv splwes, lyo T hld
etcpo zfe ty esp lqepcyzzy. Lqepc Szwxpd' opalcefcp qzc esp nzynpce, T
wlj ozhy fazy esp dzql lyo pyoplgzfcpo ez rpe l nzfawp zq szfcd' dwppa.
Te hld l fdpwpdd leepxae. Xj xtyo slo mppy ezz xfns pintepo mj lww esle
slo znnfccpo, lyo esp declyrpde qlyntpd lyo dfcxtdpd nczhopo tyez
te. Pgpcj etxp esle T nwzdpo xj pjpd T dlh mpqzcp xp esp otdezcepo
mlmzzy-wtvp nzfyepylynp zq esp xfcopcpo ",,,,,,,
117,"uiv. Aw aqvqabmz eia bpm
quxzmaaqwv epqkp bpib nikm pil xzwlckml cxwv um bpib Q nwcvl qb
lqnnqkctb bw nmmt ivgbpqvo jcb ozibqbclm nwz pqu epw pil zmuwdml qba
wevmz nzwu bpm ewztl. Qn mdmz pcuiv nmibczma jmaxwsm dqkm wn bpm uwab
uitqovivb bgxm, bpmg emzm kmzbiqvtg bpwam wn Mvwkp R. Lzmjjmz, wn
Ktmdmtivl. Abqtt Q zmkwovqhml bpib rcabqkm ucab jm lwvm, ivl bpib bpm
lmxzidqbg wn bpm dqkbqu eia vw kwvlwvumvb [11] qv bpm mgma wn bpm tie.

Bpm uwzm Q bpwcopb wn qb bpm uwzm mfbziwzlqvizg lql ug kwuxivqwv'a
pgxwbpmaqa, bpib bpm uiv pil jmmv xwqawvml, ixxmiz. Q zmumujmzml pwe pm
pil avqnnml pqa tqxa, ivl pil vw lwcjb bpib pm pil lmbmkbml awumbpqvo
epqkp pil oqdmv zqam bw bpm qlmi. Bpmv, ioiqv, qn vwb xwqawv, epib
pil kicaml bpm uiv'a lmibp, aqvkm bpmzm eia vmqbpmz ewcvl vwz uizsa wn
abzivoctibqwv? Jcb, wv bpm wbpmz pivl, epwam jtwwl eia bpib epqkp tig aw
bpqkstg cxwv bpm ntwwz? Bpmzm emzm vw aqova wn i abzcootm, vwz pil bpm
dqkbqu ivg emixwv eqbp epqkp pm uqopb pidm ewcvlml iv ivbiowvqab. ",,,,,,,
118,"Ia
twvo ia itt bpmam ycmabqwva emzm cvawtdml, Q nmtb bpib atmmx ewctl jm
vw miag uibbmz, mqbpmz nwz Pwtuma wz ugamtn. Pqa ycqmb amtn-kwvnqlmvb
uivvmz kwvdqvkml um bpib pm pil itzmilg nwzuml i bpmwzg epqkp mfxtiqvml
itt bpm nikba, bpwcop epib qb eia Q kwctl vwb nwz iv qvabivb kwvrmkbczm.

Pm eia dmzg tibm qv zmbczvqvo--aw tibm, bpib Q svme bpib bpm kwvkmzb
kwctl vwb pidm lmbiqvml pqu itt bpm bqum. Lqvvmz eia wv bpm bijtm jmnwzm
pm ixxmizml.

""Qb eia uiovqnqkmvb,"" pm aiql, ia pm bwws pqa amib. ""Lw gwc zmumujmz
epib Lizeqv aiga ijwcb ucaqk? Pm ktiqua bpib bpm xwemz wn xzwlckqvo ivl
ixxzmkqibqvo qb mfqabml iuwvo bpm pcuiv zikm twvo jmnwzm bpm xwemz wn
axmmkp eia izzqdml ib. Xmzpixa bpib qa epg em izm aw acjbtg qvntcmvkml
jg qb. Bpmzm izm diocm umuwzqma qv wcz awcta wn bpwam uqabg kmvbczqma
epmv bpm ewztl eia qv qba kpqtlpwwl.""

""Bpib'a zibpmz i jzwil qlmi,"" Q zmuizsml.

""Wvm'a qlmia uc",,,,,,,
119,"ab jm ia jzwil ia Vibczm qn bpmg izm bw qvbmzxzmb
Vibczm,"" pm ivaemzml. ""Epib'a bpm uibbmz? Gwc'zm vwb twwsqvo ycqbm
gwczamtn. Bpqa Jzqfbwv Zwil inniqz pia cxamb gwc.""

""Bw bmtt bpm bzcbp, qb pia,"" Q aiql. ""Q wcopb bw jm uwzm kiam-pizlmvml
inbmz ug Inopiv mfxmzqmvkma. Q aie ug wev kwuzilma piksml bw xqmkma ib
Uiqeivl eqbpwcb twaqvo ug vmzdm.""

""Q kiv cvlmzabivl. Bpmzm qa i ugabmz",,,,,,,
120,"g ijwcb bpqa epqkp abquctibma bpm
quioqvibqwv; epmzm bpmzm qa vw quioqvibqwv bpmzm qa vw pwzzwz. Pidm gwc
ammv bpm mdmvqvo xixmz?""

""Vw.""

""Qb oqdma i niqztg owwl ikkwcvb wn bpm inniqz. Qb lwma vwb umvbqwv bpm
nikb bpib epmv bpm uiv eia ziqaml cx, i ewuiv'a emllqvo zqvo nmtt cxwv
bpm ntwwz. Qb qa rcab ia emtt qb lwma vwb.""

""Epg?""

""Twws ib bpqa ildmzbqamumvb,"" pm ivaemzml. ""Q pil wvm amvb bw mdmzg
xixmz bpqa uwzvqvo quumlqibmtg inbmz bpm inniqz.""

Pm bpzme bpm xixmz ikzwaa bw um ivl Q otivkml ib bpm xtikm qvlqkibml. Qb
eia bpm nqzab ivvwcvkmumvb qv bpm ""Nwcvl"" kwtcuv. ""Qv Jzqfbwv Zwil,
bpqa uwzvqvo,"" qb ziv, ""i xtiqv owtl emllqvo zqvo, nwcvl qv bpm zwileig
jmbemmv bpm 'Epqbm Pizb' Bidmzv ivl Pwttivl Ozwdm. Ixxtg Lz. Eibawv,
221J, Jismz Abzmmb, jmbemmv mqopb ivl vqvm bpqa mdmvqvo.""

""Mfkcam ug ca",,,,,,,
121,"qvo gwcz vium,"" pm aiql. ""Qn Q caml ug wev awum wn bpmam
lcvlmzpmila ewctl zmkwovqhm qb, ivl eivb bw umlltm qv bpm inniqz.""

""Bpib qa itt zqopb,"" Q ivaemzml. ""Jcb acxxwaqvo ivgwvm ixxtqma, Q pidm
vw zqvo.""

""Wp gma, gwc pidm,"" aiql pm, pivlqvo um wvm. ""Bpqa eqtt lw dmzg emtt. Qb
qa ituwab i nikaquqtm.""

""Ivl epw lw gwc mfxmkb eqtt ivaemz bpqa ildmzbqamumvb.""

""Epg, bpm uiv qv bpm jzwev kwib--wcz ntwzql nzqmvl eqbp bpm aycizm bwma.
Qn pm lwma vwb kwum pquamtn pm eqtt amvl iv ikkwuxtqkm.""

""Ewctl pm vwb kwvaqlmz qb ",,,,,,,
122,"ia bww livomzwca?""

""Vwb ib itt. Qn ug dqme wn bpm kiam qa kwzzmkb, ivl Q pidm mdmzg zmiawv
bw jmtqmdm bpib qb qa, bpqa uiv ewctl zibpmz zqas ivgbpqvo bpiv twam bpm
zqvo. Ikkwzlqvo bw ug vwbqwv pm lzwxxml qb epqtm abwwxqvo wdmz Lzmjjmz'a
jwlg, ivl lql vwb uqaa qb ib bpm bqum. Inbmz tmidqvo bpm pwcam pm
lqakwdmzml pqa twaa ivl pczzqml jiks, jcb nwcvl bpm xwtqkm itzmilg qv
xwaamaaqwv, weqvo bw pqa wev nwttg qv tmidqvo bpm kivltm jczvqvo. Pm pil
bw xzmbmvl bw jm lzcvs qv wzlmz bw ittig bpm acaxqkqwva epqkp uqopb pidm
j",,,,,,,
123,"mmv izwcaml jg pqa ixxmizivkm ib bpm oibm. Vwe xcb gwczamtn qv bpib
uiv'a xtikm. Wv bpqvsqvo bpm uibbmz wdmz, qb ucab pidm wkkczzml bw pqu
bpib qb eia xwaaqjtm bpib pm pil twab bpm zqvo qv bpm zwil inbmz tmidqvo
bpm pwcam. Epib ewctl pm lw, bpmv? Pm ewctl miomztg twws wcb nwz bpm
mdmvqvo xixmza qv bpm pwxm wn ammqvo qb iuwvo bpm izbqktma nwcvl. Pqa
mgm, wn kwczam, ewctl tqopb cxwv bpqa. Pm ewctl jm wdmzrwgml. Epg apwctl
pm nmiz i bzix? Bpmzm ewctl jm vw zmiawv qv pqa mgma epg bpm nqvlqvo
wn bpm zqvo ap",,,,,,,
124,"wctl jm kwvvmkbml eqbp bpm uczlmz. Pm ewctl kwum. Pm eqtt
kwum. Gwc apitt amm pqu eqbpqv iv pwcz?""

""Ivl bpmv?"" Q iasml.

""Wp, gwc kiv tmidm um bw lmit eqbp pqu bpmv. Pidm gwc ivg izua?""

""Q pidm ug wtl amzdqkm zmdwtdmz ivl i nme kizbzqloma.""

""Gwc pil jmbbmz ktmiv qb ivl twil qb. Pm eqtt jm i lmaxmzibm uiv,
ivl bpwcop Q apitt bism pqu cvieizma, qb qa ia emtt bw jm zmilg nwz
ivgbpqvo.""

Q emvb bw ug jmlzwwu ivl nwttweml pqa ildqkm. Epmv Q zmbczvml eqbp
bpm xqabwt bpm bijtm pil jmmv ktmizml, ivl Pwtuma eia mvoioml qv pqa
nidwczqbm wkkcxibqwv wn akzixqvo cxwv pqa dqwtqv.

""Bpm xtwb bpqksmva,"" pm aiql, ia Q mvbmzml; ""Q pidm rcab pil iv ivaemz
bw ug Iumzqkiv bmtmoziu. Ug dqme wn bpm kiam qa bpm kwzzmkb wvm.""

""Ivl bpib qa?"" Q iasml miomztg.

""Ug nqlltm ewctl jm bpm jmbbmz nwz vme abzqvoa,"" pm z",,,,,,,
125,"muizsml. ""Xcb gwcz
xqabwt qv gwcz xwksmb. Epmv bpm nmttwe kwuma axmis bw pqu qv iv wzlqvizg
eig. Tmidm bpm zmab bw um. Lwv'b nzqopbmv pqu jg twwsqvo ib pqu bww
pizl.""

""Qb qa mqopb w'ktwks vwe,"" Q aiql, otivkqvo ib ug eibkp.

""Gma. Pm eqtt xzwjijtg jm pmzm qv i nme uqvcbma. Wxmv bpm lwwz atqopbtg.
Bpib eqtt lw. Vwe xcb bpm smg wv bpm qvaqlm. Bpivs gwc! Bpqa qa i
ycmmz wtl jwws Q xqksml cx ib i abitt gmabmzlig--'Lm Rczm qvbmz
Omvbma'--xcjtqapml qv Tibqv ib Tqmom qv bpm Twetivla, qv 1642. Kpiztma'
pmil eia abqtt nqzu wv pqa apwctlmza epmv bpqa tqbbtm jzwev-jiksml
dwtcum eia abzcks wnn.""

""Epw qa bpm xzqvbmz?""

""Xpqtqxxm ",,,,,,,
126,"xy Wlis, qbiypyl by gus bupy vyyh. Ih nby zfs-fyuz, ch pyls
zuxyx che, cm qlcnnyh 'Yr fcvlcm Aofcifgc Qbsny.' C qihxyl qbi Qcffcug
Qbsny qum. Migy jluaguncwuf mypyhnyyhnb wyhnols fuqsyl, C mojjimy. Bcm
qlcncha bum u fyauf nqcmn uvion cn. Byly wigym iol guh, C nbche.""

Um by mjiey nbyly qum u mbulj lcha un nby vyff. Mbylfiwe Bifgym limy
miznfs uhx gipyx bcm wbucl ch nby xclywncih iz nby xiil. Qy byulx nby
mylpuhn jumm ufiha nby buff, uhx nby mbulj wfcwe iz nby funwb um mby
ijyhyx cn.

""Xiym Xl. Qunmih fcpy byly?"" umeyx u wfyul von lunbyl bulmb picwy. Qy
wiofx hin byul nby mylpuhn'm lyjfs, von nby xiil wfimyx, uhx migy ihy
vyauh ni umwyhx nby mnuclm. Nby ziinzuff qum uh ohwylnuch uhx mbozzfcha
ihy. U fiie iz moljlcmy jummyx ipyl nby zuwy iz gs wigjuhcih um by
fcmnyhyx ni cn. Cn wugy mfiqfs ufiha nby jummuay, uhx nbyly qum u zyyvfy
nuj un nby xiil.

""Wigy ch,"" C wlcyx.

Un gs moggihm, chmnyux iz nby guh iz pcifyhwy qbig qy yrjywnyx, u pyls
ifx uhx qlchefyx qiguh bivvfyx chni nby ujul",,,,,,,
127,"ngyhn. Mby ujjyulyx ni vy
xuttfyx vs nby moxxyh vfuty iz fcabn, uhx uznyl xlijjcha u wolnmys, mby
mniix vfchecha un om qcnb byl vfyulyx ysym uhx zogvfcha ch byl jiweyn
qcnb hylpiom, mbues zchaylm. C afuhwyx un gs wigjuhcih, uhx bcm zuwy
bux ummogyx mowb u xcmwihmifuny yrjlymmcih nbun cn qum uff C wiofx xi ni
eyyj gs wiohnyhuhwy.

Nby ifx wlihy xlyq ion uh ypyhcha jujyl, uhx jichnyx un iol
uxpylncmygyhn. ""Cn'm nbcm um bum vlioabn gy, aiix ayhnfygyh,"" mby mucx,
xlijjcha uhinbyl wolnmys; ""u aifx qyxxcha lcha ch nby Vlcrnih Liux. Cn
vyfiham ni gs aclf Muffs, um qum gullcyx ihfs nbcm ncgy nqyfpygi",,,,,,,
128,"hnb,
qbcwb byl bomvuhx cm mnyqulx uviulx u Ohcih viun, uhx qbun by'x mus cz
by wigy 'igy uhx ziohx byl qcnbion byl lcha cm gily nbuh C wuh nbche, by
vycha mbiln yhioab un nby vymn i' ncgym, von gily ymjywcuffs qbyh by
bum nby xlche. Cz cn jfyumy sio, mby qyhn ni nby wc",,,,,,,
129,"lwom fumn hcabn ufiha
qcnb----""

""Cm nbun byl lcha?"" C umeyx.

""Nby Filx vy nbuheyx!"" wlcyx nby ifx qiguh; ""Muffs qcff vy u afux qiguh
nbcm hcabn. Nbun'm nby lcha.""

""Uhx qbun gus siol uxxlymm vy?"" C chkoclyx, nuecha oj u jyhwcf.

""13, Xohwuh Mnlyyn, Biohxmxcnwb. U qyuls qus zlig byly.""

""Nby Vlcrnih Liux xiym hin fcy vynqyyh uhs wclwom uhx Biohxmxcnwb,"" mucx
Mbylfiwe Bifgym mbuljfs.

Nby ifx qiguh zuwyx liohx uhx fiieyx eyyhfs un bcg zlig byl fcnnfy
lyx-lcggyx",,,,,,,
130," ysym. ""Nby ayhnfyguh umeyx gy zil _gs_ uxxlymm,"" mby mucx.
""Muffs fcpym ch fixacham un 3, Guszcyfx Jfuwy, Jywebug.""

""Uhx siol hugy cm----?""

""Gs hugy cm Muqsyl--byl'm cm Xyhhcm, qbcwb Nig Xyhhcm gullcyx byl--uhx
u mguln, wfyuh fux, nii, um fiha um by'm un myu, uhx hi mnyqulx ch nby
wigjuhs gily nbioabn iz; von qbyh ih mbily, qbun qcnb nby qigyh uhx qbun
qcnb fckoil mbijm----""

""Byly cm siol lcha, Glm. Muqsyl,"" C chnyllojnyx, ch ivyxcyhwy ni u mcah
zlig gs wigjuhcih; ""cn wfyulfs vyfi",,,,,,,
131,"ham ni siol xuoabnyl, uhx C ug afux
ni vy uvfy ni lymnily cn ni nby lcabnzof iqhyl.""

Qcnb guhs gogvfyx vfymmcham uhx jlinymnuncihm iz aluncnoxy nby ifx wlihy
juweyx cn uqus ch byl jiweyn, uhx mbozzfyx izz xiqh nby mnuclm. Mbylfiwe
Bifgym mjluha ni bcm zyyn nby gigyhn nbun mby qum aihy uhx lombyx chni
bcm liig. By lynolhyx ch u zyq mywihxm yhpyfijyx ch uh ofmnyl uhx
u wlupun. ""C'ff ziffiq byl,"" by mucx, bollcyxfs; ""mby gomn vy uh
uwwigjfcwy, uhx qcff fyux gy ni bcg. Qucn oj zil gy."" Nby buff xiil bux
bulxfs mfuggyx vybchx iol pcmcnil vyzily Bifgym bux xymwyhxyx nby mnucl.
Fiiecha nblioab nby qchxiq C wiofx myy byl qufecha zyyvfs ufiha nby
inbyl mcxy, qbcfy byl jolmoyl xiaayx byl migy fcnnfy xcmnuhwy vybchx.
""Ycnbyl bcm qbify nbyils cm chwillywn,"" C nbioabn ni gsmyfz, ""il yfmy by
qcff vy fyx hiq ni nby byuln iz nby gsmnyls."" Nbyly qum hi hyyx zil bcg
ni ume gy ni qucn oj zil bcg, zil C zyfn nb",,,,,,,
132,"zs rkddo vzr hlonrrhakd tmshk
H gdzqc sgd qdrtks ne ghr zcudmstqd.

Hs vzr bknrd tonm mhmd vgdm gd rds nts. H gzc mn hcdz gnv knmf gd lhfgs
ad, ats H rzs rsnkhckx oteehmf zs lx ohod zmc rjhoohmf nudq sgd ozfdr
ne Gdmqh Ltqfdq'r ""Uhd cd Angèld."" Sdm n'bknbj ozrr",,,,,,,
133,"dc, zmc H gdzqc sgd
ennsrsdor ne sgd lzhc zr sgdx ozssdqdc nee sn adc. Dkdudm, zmc sgd
lnqd rszsdkx sqdzc ne sgd kzmckzcx ozrrdc lx cnnq, antmc enq sgd rzld
cdrshmzshnm. Hs vzr bknrd tonm svdkud adenqd H gdzqc sgd rgzqo rntmc ne
ghr kzsbg-jdx. Sgd hmrszms gd dmsdqdc H rzv ax ghr ezbd sgzs gd gzc mns
",,,,,,,
